parameter,S1_Tcloud,S1_conf_Tcloud,ST_Tcloud,ST_conf_Tcloud,S1_M_final,S1_conf_M_final,ST_M_final,ST_conf_M_final,S1_theta,S1_conf_theta,ST_theta,ST_conf_theta
N_eff,0.1281,0.0342,0.1471,0.0197,0.0,0.0,0.0,0.0,0.0039,0.012,0.0284,0.0064
beta,0.2101,0.0446,0.2527,0.031,0.0,0.0,0.0,0.0,0.1147,0.0414,0.2062,0.0286
Tc_K,0.2059,0.0411,0.2088,0.0243,0.0,0.0,0.0,0.0,0.0178,0.0167,0.035,0.0064
dG_ads,0.1172,0.0445,0.203,0.0304,0.0,0.0,0.0,0.0,0.5077,0.0613,0.6677,0.075
a_s,0.1095,0.0335,0.1817,0.0315,0.8881,0.069,0.9138,0.0629,0.0,0.0,0.0,0.0
I_M,0.1036,0.0314,0.1263,0.0193,0.0,0.0,0.0,0.0,0.0017,0.0068,0.0082,0.0027
eta_eff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.0454,0.2942,0.0362
k_ext,0.0,0.0,0.0,0.0,0.0887,0.0272,0.1156,0.0172,0.0,0.0,0.0,0.0
