parameter,S1_Tcloud,S1_conf_Tcloud,ST_Tcloud,ST_conf_Tcloud,S1_M_final,S1_conf_M_final,ST_M_final,ST_conf_M_final
N_eff,0.0525,0.1107,0.473,0.1741,0.0,0.0,0.0,0.0
beta,0.0599,0.1343,0.5578,0.1837,0.0,0.0,0.0,0.0
Tc_K,0.0773,0.0514,0.2837,0.1343,0.0,0.0,0.0,0.0
dG_ads,0.0542,0.0433,0.1001,0.0294,0.0,0.0,0.0,0.0
a_s,0.0736,0.0378,0.0822,0.0248,0.8857,0.1005,0.9146,0.0903
I_M,-0.04,0.0729,0.5079,0.1789,0.0,0.0,0.0,0.0
eta_eff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_ext,0.0,0.0,0.0,0.0,0.087,0.0397,0.1185,0.0259
